state,manufacturer,count_manufacturer
AK,ford,862
AK,chevrolet,609
AK,toyota,299
AK,jeep,237
AK,dodge,213
AL,ford,1110
AL,chevrolet,843
AL,toyota,534
AL,nissan,386
AL,jeep,337
AR,chevrolet,983
AR,ford,885
AR,toyota,289
AR,honda,270
AR,nissan,269
AZ,ford,1376
AZ,chevrolet,1310
AZ,toyota,806
AZ,nissan,496
AZ,honda,426
CA,ford,7512
CA,chevrolet,5807
CA,toyota,5777
CA,honda,3814
CA,nissan,2594
CO,ford,1877
CO,chevrolet,1299
CO,toyota,1196
CO,jeep,735
CO,honda,687
CT,ford,780
CT,chevrolet,628
CT,toyota,511
CT,honda,484
CT,nissan,354
DC,ford,348
DC,toyota,333
DC,honda,290
DC,chevrolet,218
DC,nissan,215
DE,ford,163
DE,chevrolet,157
DE,toyota,73
DE,honda,66
DE,nissan,56
FL,ford,5109
FL,chevrolet,3520
FL,toyota,2671
FL,nissan,1794
FL,honda,1472
GA,ford,1260
GA,chevrolet,960
GA,toyota,693
GA,honda,444
GA,nissan,412
HI,toyota,499
HI,honda,277
HI,ford,276
HI,bmw,267
HI,nissan,239
IA,chevrolet,1868
IA,ford,1804
IA,toyota,574
IA,nissan,492
IA,honda,400
ID,ford,1797
ID,chevrolet,1084
ID,toyota,802
ID,gmc,584
ID,jeep,578
IL,ford,1821
IL,chevrolet,1566
IL,toyota,687
IL,jeep,580
IL,honda,533
IN,ford,1294
IN,chevrolet,1213
IN,toyota,476
IN,jeep,333
IN,gmc,328
KS,ford,1224
KS,chevrolet,1161
KS,toyota,418
KS,gmc,323
KS,honda,305
KY,ford,903
KY,chevrolet,826
KY,toyota,439
KY,nissan,304
KY,jeep,236
LA,ford,606
LA,chevrolet,581
LA,toyota,302
LA,nissan,225
LA,honda,169
MA,ford,1277
MA,chevrolet,959
MA,toyota,902
MA,honda,680
MA,nissan,519
MD,ford,695
MD,chevrolet,568
MD,toyota,375
MD,nissan,283
MD,honda,267
ME,ford,442
ME,chevrolet,367
ME,toyota,318
ME,subaru,161
ME,honda,160
MI,ford,4228
MI,chevrolet,3853
MI,gmc,1118
MI,jeep,1099
MI,dodge,965
MN,ford,1684
MN,chevrolet,1680
MN,toyota,587
MN,honda,461
MN,jeep,419
MO,chevrolet,1216
MO,ford,941
MO,toyota,369
MO,nissan,286
MO,jeep,274
MS,ford,313
MS,chevrolet,231
MS,toyota,138
MS,nissan,117
MS,dodge,77
MT,ford,1430
MT,chevrolet,1200
MT,ram,771
MT,jeep,737
MT,gmc,491
NC,chevrolet,2803
NC,ford,2740
NC,toyota,1537
NC,honda,1159
NC,nissan,847
ND,ford,166
ND,chevrolet,103
ND,jeep,40
ND,dodge,37
ND,gmc,35
NE,ford,516
NE,chevrolet,369
NE,jeep,101
NE,toyota,88
NE,gmc,81
NH,ford,444
NH,chevrolet,372
NH,toyota,278
NH,jeep,179
NH,honda,164
NJ,ford,1256
NJ,honda,874
NJ,chevrolet,846
NJ,nissan,799
NJ,toyota,714
NM,ford,717
NM,chevrolet,582
NM,toyota,381
NM,nissan,246
NM,jeep,197
NV,ford,406
NV,chevrolet,341
NV,toyota,288
NV,nissan,193
NV,bmw,193
NY,ford,2972
NY,chevrolet,2639
NY,toyota,1566
NY,honda,1366
NY,jeep,1117
OH,ford,3524
OH,chevrolet,3164
OH,toyota,1048
OH,honda,1019
OH,jeep,885
OK,ford,1245
OK,chevrolet,1205
OK,toyota,382
OK,dodge,347
OK,nissan,333
OR,ford,3345
OR,toyota,2008
OR,chevrolet,1766
OR,honda,1117
OR,ram,944
PA,ford,2361
PA,chevrolet,1812
PA,toyota,925
PA,honda,720
PA,jeep,698
RI,ford,310
RI,toyota,277
RI,chevrolet,263
RI,honda,148
RI,jeep,145
SC,ford,1323
SC,chevrolet,1131
SC,toyota,750
SC,honda,473
SC,jeep,376
SD,chevrolet,488
SD,ford,432
SD,ram,130
SD,gmc,93
SD,toyota,88
TN,ford,2185
TN,chevrolet,1614
TN,toyota,1046
TN,nissan,780
TN,honda,723
TX,ford,4669
TX,chevrolet,3732
TX,toyota,1836
TX,nissan,1428
TX,ram,1282
UT,ford,232
UT,chevrolet,210
UT,toyota,92
UT,dodge,82
UT,jeep,63
VA,ford,1927
VA,chevrolet,1552
VA,toyota,1134
VA,honda,904
VA,nissan,753
VT,ford,405
VT,toyota,350
VT,chevrolet,328
VT,nissan,298
VT,subaru,220
WA,ford,2747
WA,chevrolet,1271
WA,toyota,1137
WA,ram,837
WA,nissan,701
WI,ford,2360
WI,chevrolet,2237
WI,toyota,964
WI,honda,629
WI,jeep,624
WV,ford,246
WV,chevrolet,181
WV,jeep,62
WV,ram,61
WV,toyota,57
WY,ford,271
WY,chevrolet,140
WY,ram,115
WY,toyota,79
WY,jeep,69
